method,seed,length_edges,n_nodes_visited,transition_weight_sum,summed_weight,terminus,path,bb_states_seen,bb_status,bb_score,dp_mode,dp_score,milp_status,milp_score,milp_objective,milp_time_limit_seconds,hamiltonian_status,hamiltonian_score,hamiltonian_objective,hamiltonian_time_limit_seconds
greedy_tree_path,CA1 Pyramidal,15,16,70463.83456151624,70463.83456151624,CA1 Radiatum Giant,CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,
greedy_tree_path,CA1 Radiatum Giant,15,16,70212.69767993434,70212.69767993434,CA3 Pyramidal,CA1 Radiatum Giant -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal,,,,,,,,,,,,,
greedy_tree_path,CA2 Pyramidal,16,17,98803.64714458957,98803.64714458957,CA1 Radiatum Giant,CA2 Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> DG Granule -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,
greedy_tree_path,CA3 Granule,15,16,118053.76242369786,118053.76242369786,CA1 Radiatum Giant,CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,
greedy_tree_path,CA3 Pyramidal,15,16,110967.27295280102,110967.27295280102,DG Hilar Ectopic Granule,CA3 Pyramidal -> CA2 Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> DG Granule -> DG Mossy -> DG Hilar Ectopic Granule,,,,,,,,,,,,,
greedy_tree_path,CA3c Pyramidal,14,15,143811.1955212624,143811.1955212624,DG Hilar Ectopic Granule,CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3 Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule,,,,,,,,,,,,,
greedy_tree_path,DG Granule,16,17,184146.61118735807,184146.61118735807,CA1 Radiatum Giant,DG Granule -> DG Mossy -> DG Hilar Ectopic Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3 Pyramidal -> CA2 Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,
greedy_tree_path,DG Hilar Ectopic Granule,15,16,52707.12536318414,52707.12536318414,CA1 Radiatum Giant,DG Hilar Ectopic Granule -> DG Mossy -> DG Granule -> CA2 Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,
greedy_tree_path,DG Mossy,15,16,139237.90120878708,139237.90120878708,CA1 Radiatum Giant,DG Mossy -> DG Hilar Ectopic Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3 Pyramidal -> CA2 Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,
greedy_tree_path,DG Semilunar Granule,16,17,144393.00700757426,144393.00700757426,CA1 Radiatum Giant,DG Semilunar Granule -> DG Mossy -> DG Hilar Ectopic Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3 Pyramidal -> CA2 Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,
