variant,cell,ei,response,abs_response,source_population
with_self,DG Neurogliaform,i,0.9976721256317129,0.9976721256317129,I
with_self,CA3 Trilaminar,i,0.9964602407204908,0.9964602407204908,I
with_self,DG MOPP,i,0.9960778876362045,0.9960778876362045,I
with_self,CA3 Spiny Lucidum,i,0.9960265374220834,0.9960265374220834,I
with_self,CA1 Neurogliaform Projecting,i,0.9907871712601147,0.9907871712601147,I
with_self,CA1 Oriens Bistratified,i,0.9856006871513577,0.9856006871513577,I
with_self,CA3 Horizontal Axo Axonic,i,0.9832848988130145,0.9832848988130145,I
with_self,CA1 Neurogliaform,i,0.9816615080905741,0.9816615080905741,I
with_self,DG HIPP,i,0.9771619111661004,0.9771619111661004,I
with_self,MEC LIII Superficial Trilayered Interneuron,i,0.9771054559013399,0.9771054559013399,I
with_self,CA2 SP SR,i,0.9709405947115718,0.9709405947115718,I
with_self,CA3 LMR Targeting,i,0.966953199936401,0.966953199936401,I
with_self,CA3 O LM,i,0.9616328733976728,0.9616328733976728,I
with_self,CA3 Mossy Fiber Associated,i,0.9518951212496963,0.9518951212496963,I
with_self,CA1 O LM,i,0.931646965054128,0.931646965054128,I
no_self,CA1 Trilaminar,i,-5.67026258317731,5.67026258317731,I
no_self,CA1 Perforant Path Associated QuadD,i,-4.162365671924926,4.162365671924926,I
no_self,CA1 Perforant Path Associated,i,-2.731320795738352,2.731320795738352,I
no_self,CA1 R Receiving Apical Targeting,i,-1.74843639228249,1.74843639228249,I
no_self,DG Neurogliaform,i,0.9962067722082647,0.9962067722082647,I
no_self,DG MOPP,i,0.9927354523919606,0.9927354523919606,I
no_self,CA3 Trilaminar,i,0.9893298576569185,0.9893298576569185,I
no_self,CA3 Spiny Lucidum,i,0.9866123340184471,0.9866123340184471,I
no_self,CA1 OR LM,i,-0.9864764917607823,0.9864764917607823,I
no_self,CA1 Neurogliaform Projecting,i,0.9845919700769977,0.9845919700769977,I
no_self,CA3 Horizontal Axo Axonic,i,0.9547421924698973,0.9547421924698973,I
no_self,CA1 Oriens Bistratified,i,0.9459259084840893,0.9459259084840893,I
no_self,MEC LIII Superficial Trilayered Interneuron,i,0.9333593436514379,0.9333593436514379,I
no_self,CA3 LMR Targeting,i,0.9295746577540078,0.9295746577540078,I
no_self,CA1 Neurogliaform,i,0.9285496738574374,0.9285496738574374,I
